time,symbol,fundingRate,exchange
2023-01-01 00:00:00.000,SOLUSDT,-0.00092452,Binance
2023-01-01 00:00:00.000,SOLUSDT,-0.0011354,Bybit
2023-01-01 08:00:00.000,SOLUSDT,-0.0003676,Bybit
2023-01-01 08:00:00.008,SOLUSDT,-0.00039729,Binance
2023-01-01 16:00:00.000,SOLUSDT,-0.00073565,Bybit
2023-01-01 16:00:00.000,SOLUSDT,-0.00097445,Binance
2023-01-02 00:00:00.000,SOLUSDT,-0.00115197,Bybit
2023-01-02 00:00:00.000,SOLUSDT,-0.00105604,Binance
2023-01-02 08:00:00.000,SOLUSDT,-0.00078546,Bybit
2023-01-02 08:00:00.008,SOLUSDT,-0.00073395,Binance
2023-01-02 16:00:00.000,SOLUSDT,-0.00018522,Bybit
2023-01-02 16:00:00.015,SOLUSDT,-0.00036678,Binance
2023-01-03 00:00:00.000,SOLUSDT,-0.00119088,Bybit
2023-01-03 00:00:00.003,SOLUSDT,-0.00137389,Binance
2023-01-03 08:00:00.000,SOLUSDT,-0.00247065,Bybit
2023-01-03 08:00:00.018,SOLUSDT,-0.0032206,Binance
2023-01-03 16:00:00.000,SOLUSDT,-0.00621055,Bybit
2023-01-03 16:00:00.000,SOLUSDT,-0.00820119,Binance
2023-01-04 00:00:00.000,SOLUSDT,-0.0045257,Bybit
2023-01-04 00:00:00.000,SOLUSDT,-0.00349905,Binance
2023-01-04 08:00:00.000,SOLUSDT,-0.00862818,Bybit
2023-01-04 08:00:00.016,SOLUSDT,-0.00927078,Binance
2023-01-04 16:00:00.000,SOLUSDT,-0.00288545,Bybit
2023-01-04 16:00:00.011,SOLUSDT,-0.00145742,Binance
2023-01-05 00:00:00.000,SOLUSDT,-0.00215914,Bybit
2023-01-05 00:00:00.009,SOLUSDT,-0.00197574,Binance
2023-01-05 08:00:00.000,SOLUSDT,-0.0005232,Bybit
2023-01-05 08:00:00.011,SOLUSDT,-0.00017797,Binance
2023-01-05 16:00:00.000,SOLUSDT,-0.00052153,Bybit
2023-01-05 16:00:00.000,SOLUSDT,-0.00035808,Binance
2023-01-06 00:00:00.000,SOLUSDT,-0.00220892,Bybit
2023-01-06 00:00:00.005,SOLUSDT,-0.0028675,Binance
2023-01-06 08:00:00.000,SOLUSDT,-0.00043708,Bybit
2023-01-06 08:00:00.001,SOLUSDT,-5.103e-05,Binance
2023-01-06 16:00:00.000,SOLUSDT,-0.00077924,Bybit
2023-01-06 16:00:00.000,SOLUSDT,-0.00097063,Binance
2023-01-07 00:00:00.000,SOLUSDT,-0.00058541,Bybit
2023-01-07 00:00:00.006,SOLUSDT,-0.00063098,Binance
2023-01-07 08:00:00.000,SOLUSDT,-0.0002617,Bybit
2023-01-07 08:00:00.017,SOLUSDT,-8.222e-05,Binance
2023-01-07 16:00:00.000,SOLUSDT,-0.00049317,Binance
2023-01-07 16:00:00.000,SOLUSDT,-0.00032823,Bybit
2023-01-08 00:00:00.000,SOLUSDT,-0.00024818,Bybit
2023-01-08 00:00:00.015,SOLUSDT,-0.00032422,Binance
2023-01-08 08:00:00.000,SOLUSDT,-0.00041686,Binance
2023-01-08 08:00:00.000,SOLUSDT,-0.00064201,Bybit
2023-01-08 16:00:00.000,SOLUSDT,-0.00011141,Bybit
2023-01-08 16:00:00.010,SOLUSDT,-0.0002307,Binance
2023-01-09 00:00:00.000,SOLUSDT,-0.00040775,Bybit
